usage_id,inv_id,user_id,value_use,usage_date
USEYVIW39,INVVH6M8B,9,16.55,2025-09-01 04:53:56.594219+00
USEVQ48Q1,INV9N3DKC,27,28.2,2025-07-19 13:20:10.778464+00
USEMSNL22,INV5JAP95,17,24.55,2025-05-21 02:53:33.207155+00
USE3M0TP9,INVY43WVL,46,6.75,2026-01-01 00:25:15.444424+00
USET3V4IJ,INVWHIWF2,38,36.56,2025-09-02 11:37:39.521973+00
USEF2ZLXY,INVQY7BMR,17,33.12,2025-04-26 06:07:24.777796+00
USEHYJ0XW,INVGF7SVX,24,18.2,2025-06-03 05:53:26.061917+00
USEA90CV0,INVDIS3F6,49,15.65,2025-05-28 00:57:14.749996+00
USED7P03A,INVDSSFVE,1,7.99,2025-04-19 12:58:11.448223+00
USEN3RT8C,INVO0GIUR,2,28.96,2025-07-17 08:23:29.168718+00
USE8IRH73,INVFYJAZR,32,25.95,2025-04-29 07:13:35.474441+00
USEV52LK4,INV70I83D,30,13.57,2025-04-26 23:04:12.750787+00
USE640A47,INVN1KBRP,43,17.48,2025-06-07 23:52:08.001150+00
USEFLIW5O,INVA1Q32X,23,43.27,2025-12-25 13:54:04.632101+00
USE9BJL7I,INVQ00RF2,12,42.68,2025-02-15 12:52:10.781836+00
USENYT7VV,INV7QSFX6,16,19.55,2025-06-14 19:47:59.689979+00
USELFJAQO,INV2XLOVV,9,23.68,2025-01-11 11:07:03.346029+00
USE7PVR96,INV9SMIDX,29,48.02,2025-02-19 19:49:53.273423+00
USEUI2UBV,INV9PTSX1,5,19.13,2025-05-24 09:00:48.555666+00
USEEISIV6,INV2TQOL5,24,46.5,2025-06-09 23:37:48.699336+00
USENX7U1X,INVL2GQ8H,33,20.29,2025-11-17 15:50:50.296562+00
USE9GTQF1,INVRS9Y5U,7,6.95,2025-03-26 04:34:18.575289+00
USEDWXWQD,INVLVX1IR,31,28.06,2025-09-24 13:17:01.756161+00
USEXOLIC6,INVA4YK5E,49,3.76,2025-06-19 18:16:10.459972+00
USEYVBJLK,INVYHXESK,32,49.87,2025-02-03 16:33:56.319970+00
USE4J6UDT,INVF2ZMLX,31,16.8,2025-04-14 03:10:34.718561+00
USEN9BX0M,INVIRUYVR,35,48.46,2025-09-28 21:45:11.583343+00
USESH4FG8,INVQ00RF2,5,35.31,2025-11-19 14:05:41.692897+00
USEMWL5DW,INVLVX1IR,3,23.92,2025-12-03 22:28:18.286879+00
